id,key,value,type
69120962,exit_to,GA-166;Langford Parkway;East Point,regular
69120962,highway,motorway_junction,regular
69122397,highway,motorway_junction,regular
69124349,ref,244,regular
69124349,exit_to,University Avenue;Pryor Street,regular
69124349,highway,motorway_junction,regular
69125501,ref,1b,regular
69125501,highway,motorway_junction,regular
69129075,noref,yes,regular
69129075,highway,motorway_junction,regular
69129193,highway,motorway_junction,regular
69132053,ref,57,regular
69132053,exit_to,I 75/85,regular
69132053,highway,motorway_junction,regular
69137110,highway,motorway_junction,regular
69139511,ref,7,regular
69139511,highway,motorway_junction,regular
69142562,ref,249A,regular
69142562,exit_to,Courtland Street,regular
69142562,highway,motorway_junction,regular
69143354,railway,level_crossing,regular
69146707,highway,traffic_signals,regular
69146790,highway,traffic_signals,regular
69147509,highway,traffic_signals,regular
69147819,highway,motorway_junction,regular
69149226,ref,249D,regular
69149226,highway,motorway_junction,regular
69149646,highway,traffic_signals,regular
69157532,highway,traffic_signals,regular
69159073,highway,stop,regular
69159110,highway,traffic_signals,regular
69168237,highway,stop,regular
69168330,bus,yes,regular
69168330,name,Ferst Drive & State Street,regular
69168330,public_transport,stop_position,regular
69168659,railway,level_crossing,regular
69169082,highway,traffic_signals,regular
69169082,traffic_signals,signal,regular
69169664,highway,traffic_signals,regular
69172073,highway,traffic_signals,regular
69172080,highway,traffic_signals,regular
69172355,highway,traffic_signals,regular
69172921,highway,traffic_signals,regular
69178666,highway,turning_circle,regular
69181402,highway,traffic_signals,regular
69188367,highway,traffic_signals,regular
69189231,highway,traffic_signals,regular
69190093,railway,level_crossing,regular
69191458,highway,traffic_signals,regular
69191458,crossing,traffic_signals,regular
69191531,highway,traffic_signals,regular
69191547,highway,traffic_signals,regular
69191547,crossing,traffic_signals,regular
69192973,highway,turning_circle,regular
69195686,highway,traffic_signals,regular
69195686,crossing,traffic_signals,regular
69197905,highway,traffic_signals,regular
69197905,crossing,traffic_signals,regular
69199062,highway,traffic_signals,regular
69201001,highway,traffic_signals,regular
69202669,highway,traffic_signals,regular
69222161,highway,traffic_signals,regular
69222161,traffic_signals,signal,regular
69222786,highway,traffic_signals,regular
69223942,highway,traffic_signals,regular
69223942,crossing,traffic_signals,regular
69229271,highway,traffic_signals,regular
69229313,highway,traffic_signals,regular
69232977,highway,traffic_signals,regular
69233937,highway,traffic_signals,regular
69233937,crossing,traffic_signals,regular
69235981,highway,traffic_signals,regular
69239349,highway,traffic_signals,regular
69239349,crossing,traffic_signals,regular
69239537,highway,turning_circle,regular
69239680,highway,traffic_signals,regular
69239680,crossing,traffic_signals,regular
69245189,highway,traffic_signals,regular
69245675,highway,traffic_signals,regular
69245675,crossing,traffic_signals,regular
69245689,highway,traffic_signals,regular
69245689,crossing,traffic_signals,regular
69250372,highway,crossing,regular
69253116,highway,traffic_signals,regular
69256321,highway,traffic_signals,regular
69259142,highway,traffic_signals,regular
69259142,crossing,traffic_signals,regular
69269491,traffic_calming,hump,regular
69270765,highway,traffic_signals,regular
69270765,crossing,traffic_signals,regular
69283737,highway,traffic_signals,regular
69286839,subway,yes,regular
69286839,public_transport,stop_position,regular
69287462,name,Dome / GWCC / Philips Arena / CNN Center,regular
69287462,subway,yes,regular
69287462,railway,station,regular
69288703,subway,yes,regular
69288703,public_transport,stop_position,regular
69292930,railway,level_crossing,regular
69300752,highway,stop,regular
69303091,railway,level_crossing,regular
69305806,highway,traffic_signals,regular
69305806,crossing,traffic_signals,regular
69310874,highway,traffic_signals,regular
69310874,crossing,traffic_signals,regular
69312060,railway,level_crossing,regular
69320092,railway,level_crossing,regular
69325270,highway,traffic_signals,regular
69325270,crossing,traffic_signals,regular
69330593,highway,traffic_signals,regular
69330593,crossing,traffic_signals,regular
69331892,highway,crossing,regular
69331892,crossing,zebra,regular
69333768,name,Atlanta,regular
69333768,train,yes,regular
69333768,public_transport,stop_position,regular
69336837,stop,all,regular
69336837,highway,stop,regular
69336837,traffic_signals,blinker,regular
69340189,stop,all,regular
69340189,highway,stop,regular
69340189,traffic_signals,blinker,regular
69340214,highway,traffic_signals,regular
69342315,highway,traffic_signals,regular
69342358,highway,traffic_signals,regular
69348334,highway,traffic_signals,regular
69350480,highway,traffic_signals,regular
69370123,highway,crossing,regular
69372813,highway,traffic_signals,regular
69373146,highway,traffic_signals,regular
69381929,highway,traffic_signals,regular
69381940,highway,traffic_signals,regular
69387078,highway,traffic_signals,regular
69389437,highway,traffic_signals,regular
69389437,crossing,traffic_signals,regular
69391585,highway,traffic_signals,regular
69392941,highway,traffic_signals,regular
69393862,highway,turning_circle,regular
69394266,foot,yes,regular
69394266,bicycle,yes,regular
69394440,highway,traffic_signals,regular
69410431,railway,buffer_stop,regular
69411495,railway,level_crossing,regular
69421282,highway,traffic_signals,regular
69423200,highway,stop,regular
69425051,highway,traffic_signals,regular
69430353,highway,traffic_signals,regular
69433926,highway,traffic_signals,regular
69433926,crossing,traffic_signals,regular
69435776,highway,traffic_signals,regular
69436063,highway,traffic_signals,regular
69436118,highway,traffic_signals,regular
69439625,highway,traffic_signals,regular
69440383,highway,traffic_signals,regular
69442121,highway,traffic_signals,regular
69456743,stop,all,regular
69456743,highway,stop,regular
69458872,highway,traffic_signals,regular
69458872,traffic_signals,signal,regular
69460872,bus,yes,regular
69460872,public_transport,stop_position,regular
69464753,highway,traffic_signals,regular
69476707,highway,traffic_signals,regular
69484578,highway,traffic_signals,regular
69484578,crossing,traffic_signals,regular
69487400,highway,traffic_signals,regular
69487400,crossing,unmarked,regular
69487787,highway,traffic_signals,regular
69487787,crossing,traffic_signals,regular
69495074,railway,level_crossing,regular
69499883,highway,traffic_signals,regular
69499940,highway,traffic_signals,regular
69505722,ref,12,regular
69505722,highway,motorway_junction,regular
69505780,ref,13,regular
69505780,highway,motorway_junction,regular
69506241,highway,traffic_signals,regular
69512595,source,Yahoo,regular
69512595,highway,turning_circle,regular
69515842,highway,traffic_signals,regular
69515894,highway,crossing,regular
69516416,highway,traffic_signals,regular
69518997,barrier,yes,regular
69519368,source,Yahoo,regular
69519368,highway,turning_circle,regular
69519441,traffic_calming,hump,regular
69525985,highway,stop,regular
69529974,highway,traffic_signals,regular
69537103,highway,traffic_signals,regular
69537103,crossing,traffic_signals,regular
69540616,highway,turning_circle,regular
69555542,highway,turning_circle,regular
69561741,ref,53,regular
69561741,highway,motorway_junction,regular
69564688,highway,crossing,regular
69564688,crossing,traffic_signals,regular
69573607,highway,stop_line,regular
69576506,highway,traffic_signals,regular
69576862,highway,traffic_signals,regular
69585348,highway,turning_circle,regular
69588600,highway,traffic_signals,regular
69589641,highway,traffic_signals,regular
69589734,highway,traffic_signals,regular
69596675,highway,turning_circle,regular
69600238,highway,turning_circle,regular
69601156,name,Between Fairlie and Forsth,regular
69601156,amenity,bicycle_parking,regular
69601156,covered,no,regular
69601156,capacity,7,regular
69616397,highway,traffic_signals,regular
69617974,highway,turning_circle,regular
69627032,highway,turning_circle,regular
69639595,highway,traffic_signals,regular
69639595,traffic_signals,signal,regular
69655997,highway,turning_circle,regular
69658904,highway,turning_circle,regular
69664309,highway,turning_circle,regular
153833783,ele,312,regular
153833783,name,Forrest Park,regular
153833783,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
153833783,place,neighbourhood,regular
153833783,gnis:id,1705346,gnis
153833783,gnis:Class,Populated Place,regular
153833783,gnis:County,Fulton,regular
153833783,gnis:ST_num,13,regular
153833783,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153833783,gnis:ST_alpha,GA,regular
153833783,gnis:County_num,121,regular
153852293,ele,319,regular
153852293,name,Kirkwood,regular
153852293,is_in,"DeKalb,Georgia,Ga.,GA,USA",regular
153852293,place,neighbourhood,regular
153852293,gnis:id,332154,gnis
153852293,gnis:Class,Populated Place,regular
153852293,gnis:County,DeKalb,regular
153852293,gnis:ST_num,13,regular
153852293,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153852293,gnis:ST_alpha,GA,regular
153852293,gnis:County_num,089,regular
153942845,ele,262,regular
153942845,name,Tilford,regular
153942845,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
153942845,place,hamlet,regular
153942845,gnis:id,1704869,gnis
153942845,gnis:Class,Populated Place,regular
153942845,gnis:County,Fulton,regular
153942845,gnis:ST_num,13,regular
153942845,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153942845,gnis:ST_alpha,GA,regular
153942845,gnis:County_num,121,regular
153964425,ele,301,regular
153964425,name,Cabbage Town,regular
153964425,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
153964425,place,neighbourhood,regular
153964425,gnis:id,351180,gnis
153964425,gnis:Class,Populated Place,regular
153964425,gnis:County,Fulton,regular
153964425,gnis:ST_num,13,regular
153964425,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153964425,gnis:ST_alpha,GA,regular
153964425,gnis:County_num,121,regular
154021698,ele,297,regular
154021698,name,La Vista,regular
154021698,is_in,"DeKalb,Georgia,Ga.,GA,USA",regular
154021698,place,neighbourhood,regular
154021698,gnis:id,326130,gnis
154021698,gnis:Class,Populated Place,regular
154021698,gnis:County,DeKalb,regular
154021698,gnis:ST_num,13,regular
154021698,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154021698,gnis:ST_alpha,GA,regular
154021698,gnis:County_num,089,regular
154031060,ele,286,regular
154031060,name,Stratford,regular
154031060,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154031060,place,neighbourhood,regular
154031060,gnis:id,333142,gnis
154031060,gnis:Class,Populated Place,regular
154031060,gnis:County,Fulton,regular
154031060,gnis:ST_num,13,regular
154031060,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154031060,gnis:ST_alpha,GA,regular
154031060,gnis:County_num,121,regular
154036464,ele,320,regular
154036464,name,North Kirkwood,regular
154036464,is_in,"DeKalb,Georgia,Ga.,GA,USA",regular
154036464,place,neighbourhood,regular
154036464,gnis:id,332516,gnis
154036464,gnis:Class,Populated Place,regular
154036464,gnis:County,DeKalb,regular
154036464,gnis:ST_num,13,regular
154036464,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154036464,gnis:ST_alpha,GA,regular
154036464,gnis:County_num,089,regular
154059009,ele,313,regular
154059009,name,Cascade Heights,regular
154059009,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154059009,place,hamlet,regular
154059009,gnis:id,331336,gnis
154059009,gnis:Class,Populated Place,regular
154059009,gnis:County,Fulton,regular
154059009,gnis:ST_num,13,regular
154059009,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154059009,gnis:ST_alpha,GA,regular
154059009,gnis:County_num,121,regular
154075833,ele,288,regular
154075833,name,Adamsville,regular
154075833,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154075833,place,quarter,regular
154075833,gnis:id,354261,gnis
154075833,gnis:Class,Populated Place,regular
154075833,gnis:County,Fulton,regular
154075833,gnis:ST_num,13,regular
154075833,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154075833,gnis:ST_alpha,GA,regular
154075833,gnis:County_num,121,regular
154089328,ele,287,regular
154089328,name,Woodward,regular
154089328,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154089328,place,neighbourhood,regular
154089328,gnis:id,1704908,gnis
154089328,gnis:Class,Populated Place,regular
154089328,gnis:County,Fulton,regular
154089328,gnis:ST_num,13,regular
154089328,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154089328,gnis:ST_alpha,GA,regular
154089328,gnis:County_num,121,regular
154130374,ele,255,regular
154130374,name,Carroll Heights,regular
154130374,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154130374,place,neighbourhood,regular
154130374,gnis:id,1705145,gnis
154130374,gnis:Class,Populated Place,regular
154130374,gnis:County,Fulton,regular
154130374,gnis:ST_num,13,regular
154130374,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154130374,gnis:ST_alpha,GA,regular
154130374,gnis:County_num,121,regular
154153505,ele,281,regular
154153505,name,Northside Park,regular
154153505,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154153505,place,neighbourhood,regular
154153505,gnis:id,1705361,gnis
154153505,gnis:Class,Populated Place,regular
154153505,gnis:County,Fulton,regular
154153505,gnis:ST_num,13,regular
154153505,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154153505,gnis:ST_alpha,GA,regular
154153505,gnis:County_num,121,regular
154167969,ele,296,regular
154167969,name,Sweet Auburn,regular
154167969,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154167969,place,neighbourhood,regular
154167969,gnis:id,1705365,gnis
154167969,historic,yes,regular
154167969,gnis:Class,Populated Place,regular
154167969,gnis:County,Fulton,regular
154167969,gnis:ST_num,13,regular
154167969,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154167969,gnis:ST_alpha,GA,regular
154167969,gnis:County_num,121,regular
154186004,ele,301,regular
154186004,name,Brookhaven,regular
154186004,is_in,"DeKalb,Georgia,Ga.,GA,USA",regular
154186004,place,village,regular
154186004,gnis:id,331243,gnis
154186004,gnis:Class,Populated Place,regular
154186004,gnis:County,DeKalb,regular
154186004,gnis:ST_num,13,regular
154186004,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154186004,gnis:ST_alpha,GA,regular
154186004,gnis:County_num,089,regular
154215372,ele,278,regular
154215372,name,Grove Park,regular
154215372,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154215372,place,neighbourhood,regular
154215372,gnis:id,331880,gnis
154215372,gnis:Class,Populated Place,regular
154215372,gnis:County,Fulton,regular
154215372,gnis:ST_num,13,regular
154215372,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154215372,gnis:ST_alpha,GA,regular
154215372,gnis:County_num,121,regular
154320098,ele,278,regular
154320098,name,Druid Hills,regular
154320098,is_in,"DeKalb,Georgia,Ga.,GA,USA",regular
154320098,place,hamlet,regular
154320098,gnis:id,331589,gnis
154320098,gnis:Class,Populated Place,regular
154320098,gnis:County,DeKalb,regular
154320098,gnis:ST_num,13,regular
154320098,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154320098,gnis:ST_alpha,GA,regular
154320098,gnis:County_num,089,regular
154359413,ele,240,regular
154359413,name,Bolton,regular
154359413,is_in,"Fulton,Georgia,Ga.,GA,USA",regular
154359413,place,hamlet,regular
154359413,gnis:id,331205,gnis
154359413,gnis:Class,Populated Place,regular
154359413,gnis:County,Fulton,regular
154359413,gnis:ST_num,13,regular
154359413,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154359413,gnis:ST_alpha,GA,regular
154359413,gnis:County_num,121,regular
154388077,ele,252,regular
154388077,name,Forest Acres,regular
154388077,is_in,"Cobb,Georgia,Ga.,GA,USA",regular
154388077,place,neighbourhood,regular
154388077,gnis:id,1686156,gnis
154388077,gnis:Class,Populated Place,regular
154388077,gnis:County,Cobb,regular
154388077,gnis:ST_num,13,regular
154388077,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
154388077,gnis:ST_alpha,GA,regular
154388077,gnis:County_num,067,regular
255026018,created_by,JOSM,regular
255026047,created_by,JOSM,regular
255027831,highway,traffic_signals,regular
255180491,created_by,JOSM,regular
255180524,highway,traffic_signals,regular
255180524,crossing,traffic_signals,regular
259480600,is_in,Hurt Park,regular
259480600,amenity,fountain,regular
266577099,highway,crossing,regular
303164561,ref,250,regular
303164561,highway,motorway_junction,regular
303167007,highway,traffic_signals,regular
315299139,highway,motorway_junction,regular
317777212,highway,traffic_signals,regular
317778898,traffic_calming,table,regular
318452433,railway,subway_entrance,regular
318458532,subway,yes,regular
318458532,public_transport,stop_position,regular
321269726,highway,turning_circle,regular
336156437,source,Bing,regular
336156437,highway,traffic_signals,regular
339023939,ref,249D,regular
339023939,exit_to,US-19;US-29;Spring Street;West Peachtree Street,regular
339023939,highway,motorway_junction,regular
344456124,barrier,bollard,regular
358679113,ele,304,regular
358679113,name,Adair Park,regular
358679113,leisure,park,regular
358679113,gnis:created,09/25/1979,gnis
358679113,gnis:state_id,13,gnis
358679113,gnis:county_id,121,gnis
358679113,gnis:feature_id,310386,gnis
358679583,ele,314,regular
358679583,name,Archbishop R Ryan Memorial School,regular
358679583,amenity,school,regular
358679583,gnis:created,09/25/1979,gnis
358679583,gnis:state_id,13,gnis
358679583,gnis:county_id,121,gnis
358679583,gnis:feature_id,310602,gnis
358680282,ele,300,regular
358680282,name,Frederick Wilson Benteen Elementary School,regular
358680282,amenity,school,regular
358680282,gnis:edited,01/16/2006,gnis
358680282,gnis:created,09/25/1979,gnis
358680282,gnis:state_id,13,gnis
358680282,gnis:county_id,121,gnis
358680282,gnis:feature_id,311092,gnis
358682163,ele,306,regular
358682163,name,Capitol View Elementary School,regular
358682163,amenity,school,regular
358682163,gnis:edited,01/19/2007,gnis
358682163,gnis:created,09/25/1979,gnis
358682163,gnis:state_id,13,gnis
358682163,gnis:county_id,121,gnis
358682163,gnis:feature_id,312330,gnis
358682323,ele,315,regular
358682323,name,Carver Vocational School,regular
358682323,amenity,school,regular
358682323,gnis:created,09/25/1979,gnis
358682323,gnis:state_id,13,gnis
358682323,gnis:county_id,121,gnis
358682323,gnis:feature_id,312397,gnis
358682979,ele,284,regular
358682979,name,Clement School,regular
358682979,amenity,school,regular
358682979,gnis:created,09/25/1979,gnis
358682979,gnis:state_id,13,gnis
358682979,gnis:county_id,121,gnis
358682979,gnis:feature_id,312730,gnis
358683687,ele,269,regular
358683687,name,Grove Park Elementary School,regular
358683687,amenity,school,regular
358683687,gnis:created,09/13/1996,gnis
358683687,gnis:state_id,13,gnis
358683687,gnis:county_id,121,gnis
358683687,gnis:feature_id,313080,gnis
358685099,ele,302,regular
358685099,name,Emory University School of Dentistry,regular
358685099,amenity,school,regular
358685099,gnis:created,09/25/1979,gnis
358685099,gnis:state_id,13,gnis
358685099,gnis:county_id,121,gnis
358685099,gnis:feature_id,313943,gnis
358685855,ele,284,regular
358685855,name,Fulton High School,regular
358685855,amenity,school,regular
358685855,gnis:created,09/25/1979,gnis
358685855,gnis:state_id,13,gnis
358685855,gnis:county_id,121,gnis
358685855,gnis:feature_id,314458,gnis
358686338,ele,298,regular
358686338,name,Gray Street School,regular
358686338,amenity,school,regular
358686338,gnis:created,09/25/1979,gnis
358686338,gnis:state_id,13,gnis
358686338,gnis:county_id,121,gnis
358686338,gnis:feature_id,314801,gnis
358687355,ele,293,regular
358687355,name,Alonzo F Herndon Elementary School,regular
358687355,amenity,school,regular
358687355,gnis:edited,01/19/2007,gnis
358687355,gnis:created,09/25/1979,gnis
358687355,gnis:state_id,13,gnis
358687355,gnis:county_id,121,gnis
358687355,gnis:feature_id,315344,gnis
358687557,ele,315,regular
358687557,name,Hillside Church,regular
358687557,amenity,place_of_worship,regular
358687557,religion,christian,regular
358687557,gnis:created,09/25/1979,gnis
358687557,gnis:state_id,13,gnis
358687557,gnis:county_id,121,gnis
358687557,gnis:feature_id,315441,gnis
358688243,ele,289,regular
358688243,name,Howe School,regular
358688243,amenity,school,regular
358688243,gnis:created,09/25/1979,gnis
358688243,gnis:state_id,13,gnis
358688243,gnis:county_id,121,gnis
358688243,gnis:feature_id,315760,gnis
358688868,ele,279,regular
358688868,name,John A White Park,regular
358688868,leisure,park,regular
358688868,gnis:created,09/25/1979,gnis
358688868,gnis:state_id,13,gnis
358688868,gnis:county_id,121,gnis
358688868,gnis:feature_id,316128,gnis
358690102,ele,303,regular
358690102,name,Lee School,regular
358690102,amenity,school,regular
358690102,gnis:created,09/25/1979,gnis
358690102,gnis:state_id,13,gnis
358690102,gnis:county_id,067,gnis
358690102,gnis:feature_id,316742,gnis
358690861,ele,298,regular
358690861,name,Luckie Street School,regular
358690861,amenity,school,regular
358690861,gnis:created,09/25/1979,gnis
358690861,gnis:state_id,13,gnis
358690861,gnis:county_id,121,gnis
358690861,gnis:feature_id,317473,gnis
358691574,ele,306,regular
358691574,name,Mary Branan Church,regular
358691574,amenity,place_of_worship,regular
358691574,religion,christian,regular
358691574,gnis:created,09/25/1979,gnis
358691574,gnis:state_id,13,gnis
358691574,gnis:county_id,121,gnis
358691574,gnis:feature_id,317759,gnis
358692896,ele,319,regular
358692896,name,Morehouse College,regular
358692896,amenity,school,regular
358692896,wikidata,Q1524124,regular
358692896,wikipedia,en:Morehouse College,regular
358692896,gnis:created,09/25/1979,gnis
358692896,gnis:state_id,13,gnis
358692896,gnis:county_id,121,gnis
358692896,gnis:feature_id,318449,gnis
358693647,ele,306,regular
358693647,name,Mount Nebo Church,regular
358693647,amenity,place_of_worship,regular
358693647,religion,christian,regular
358693647,gnis:created,09/25/1979,gnis
358693647,gnis:state_id,13,gnis
358693647,gnis:county_id,121,gnis
358693647,gnis:feature_id,318714,gnis
358695580,ele,301,regular
358695580,name,New Hope Church,regular
358695580,amenity,place_of_worship,regular
358695580,religion,christian,regular
358695580,gnis:created,09/25/1979,gnis
358695580,gnis:state_id,13,gnis
358695580,gnis:county_id,121,gnis
358695580,gnis:feature_id,319424,gnis
358697840,ele,303,regular
358697840,name,Peachtree Road Church,regular
358697840,amenity,place_of_worship,regular
358697840,religion,christian,regular
358697840,gnis:created,09/25/1979,gnis
358697840,gnis:state_id,13,gnis
358697840,gnis:county_id,121,gnis
358697840,gnis:feature_id,320314,gnis
358699905,ele,300,regular
358699905,name,Luther Judson Price Middle School,regular
358699905,amenity,school,regular
358699905,gnis:edited,01/19/2007,gnis
358699905,gnis:created,09/13/1996,gnis
358699905,gnis:state_id,13,gnis
358699905,gnis:county_id,121,gnis
358699905,gnis:feature_id,321138,gnis
358700881,ele,235,regular
358700881,name,River View Church,regular
358700881,amenity,place_of_worship,regular
358700881,religion,christian,regular
358700881,gnis:created,09/25/1979,gnis
358700881,gnis:state_id,13,gnis
358700881,gnis:county_id,067,gnis
358700881,gnis:feature_id,321634,gnis
358702762,ele,312,regular
358702762,name,Salvation Army Training College,regular
358702762,amenity,school,regular
358702762,gnis:created,09/25/1979,gnis
358702762,gnis:state_id,13,gnis
358702762,gnis:county_id,121,gnis
358702762,gnis:feature_id,322387,gnis
358703460,ele,302,regular
358703460,name,Sharon Church,regular
358703460,amenity,place_of_worship,regular
358703460,religion,christian,regular
358703460,gnis:created,09/25/1979,gnis
358703460,gnis:state_id,13,gnis
358703460,gnis:county_id,121,gnis
358703460,gnis:feature_id,322786,gnis
358704291,ele,285,regular
358704291,name,Sarah Rawson Smith Elementary School,regular
358704291,amenity,school,regular
358704291,gnis:edited,01/19/2007,gnis
358704291,gnis:created,09/25/1979,gnis
358704291,gnis:state_id,13,gnis
358704291,gnis:county_id,121,gnis
358704291,gnis:feature_id,323149,gnis
358704469,ele,255,regular
358704469,name,South Bend Park,regular
358704469,leisure,park,regular
358704469,gnis:created,09/25/1979,gnis
358704469,gnis:state_id,13,gnis
358704469,gnis:county_id,121,gnis
358704469,gnis:feature_id,323233,gnis
358704929,ele,299,regular
358704929,name,Springvale Park,regular
358704929,leisure,park,regular
358704929,gnis:created,09/25/1979,gnis
358704929,gnis:state_id,13,gnis
358704929,gnis:county_id,121,gnis
358704929,gnis:feature_id,323481,gnis
358705952,ele,294,regular
358705952,name,Tenth Street School,regular
358705952,amenity,school,regular
358705952,gnis:created,09/25/1979,gnis
358705952,gnis:state_id,13,gnis
358705952,gnis:county_id,121,gnis
358705952,gnis:feature_id,324007,gnis
358707510,ele,300,regular
358707510,name,Venetian Hills Elementary School,regular
358707510,amenity,school,regular
358707510,gnis:edited,01/19/2007,gnis
358707510,gnis:created,09/25/1979,gnis
358707510,gnis:state_id,13,gnis
358707510,gnis:county_id,121,gnis
358707510,gnis:feature_id,324679,gnis
358708534,ele,300,regular
358708534,name,Atlanta Charter Middle School,regular
358708534,amenity,school,regular
358708534,gnis:edited,01/19/2007,gnis
358708534,gnis:created,09/25/1979,gnis
358708534,gnis:state_id,13,gnis
358708534,gnis:county_id,121,gnis
358708534,gnis:feature_id,325067,gnis
358709016,ele,280,regular
358709016,name,Wildwood Park,regular
358709016,leisure,park,regular
